动态大规模实验  K=30, L=9, G=6
总种子: 300  目标保留: 100  Workers: 8
筛选: JFI_avg≥0.84, JFI_min≥0.7, DLB_JS>avg_others, DLB_MR≥avg_others×0.97
=================================================================
[  1/300] seed=  5 ✗ DLB_JFI=0.825 DLB_JS=0.697 good=0  ETA=91600s
[  2/300] seed=  6 ✗ DLB_JFI=0.859 DLB_JS=0.703 good=0  ETA=45839s
[  3/300] seed=  3 ✗ DLB_JFI=0.750 DLB_JS=0.597 good=0  ETA=30580s
[  4/300] seed=  4 ✗ DLB_JFI=0.791 DLB_JS=0.580 good=0  ETA=22887s
[  5/300] seed=  7 ✗ DLB_JFI=0.881 DLB_JS=0.592 good=0  ETA=18292s
[  6/300] seed=  1 ✓ DLB_JFI=0.857 DLB_JS=0.633 good=1  ETA=15227s
[  7/300] seed=  8 ✓ DLB_JFI=0.893 DLB_JS=0.689 good=2  ETA=13053s
[  8/300] seed=  2 ✗ DLB_JFI=0.739 DLB_JS=0.590 good=2  ETA=11485s
[  9/300] seed=  9 ✗ DLB_JFI=0.839 DLB_JS=0.684 good=2  ETA=22105s
[ 10/300] seed= 10 ✗ DLB_JFI=0.865 DLB_JS=0.475 good=2  ETA=19882s
[ 11/300] seed= 12 ✗ DLB_JFI=0.894 DLB_JS=0.706 good=2  ETA=18145s
[ 12/300] seed= 11 ✓ DLB_JFI=0.899 DLB_JS=0.788 good=3  ETA=16579s
[ 13/300] seed= 13 ✓ DLB_JFI=0.900 DLB_JS=0.828 good=4  ETA=15273s
[ 14/300] seed= 14 ✓ DLB_JFI=0.874 DLB_JS=0.635 good=5  ETA=14166s
[ 15/300] seed= 15 ✗ DLB_JFI=0.816 DLB_JS=0.681 good=5  ETA=13207s
[ 16/300] seed= 16 ✗ DLB_JFI=0.817 DLB_JS=0.673 good=5  ETA=12411s
[ 17/300] seed= 17 ✗ DLB_JFI=0.823 DLB_JS=0.554 good=5  ETA=18184s
[ 18/300] seed= 18 ✓ DLB_JFI=0.841 DLB_JS=0.649 good=6  ETA=17154s
[ 19/300] seed= 20 ✗ DLB_JFI=0.829 DLB_JS=0.794 good=6  ETA=16314s
[ 20/300] seed= 19 ✓ DLB_JFI=0.893 DLB_JS=0.654 good=7  ETA=15461s
[ 21/300] seed= 21 ✗ DLB_JFI=0.894 DLB_JS=0.552 good=7  ETA=14687s
[ 22/300] seed= 22 ✗ DLB_JFI=0.905 DLB_JS=0.585 good=7  ETA=14016s
[ 23/300] seed= 23 ✗ DLB_JFI=0.854 DLB_JS=0.489 good=7  ETA=13379s
[ 24/300] seed= 24 ✗ DLB_JFI=0.891 DLB_JS=0.590 good=7  ETA=12870s
[ 25/300] seed= 25 ✗ DLB_JFI=0.801 DLB_JS=0.734 good=7  ETA=16688s
[ 26/300] seed= 26 ✓ DLB_JFI=0.846 DLB_JS=0.764 good=8  ETA=16014s
[ 27/300] seed= 27 ✗ DLB_JFI=0.681 DLB_JS=0.614 good=8  ETA=15499s
[ 28/300] seed= 28 ✓ DLB_JFI=0.893 DLB_JS=0.693 good=9  ETA=14901s
