row,col
34,99
19,33
73,88
81,72
12,34
37,12
29,72
88,60
12,68
14,79
57,50
52,1
34,78
72,83
99,48
45,70
25,46
10,71
80,81
21,56
81,51
87,92
64,95
54,30
99,88
52,25
1,82
5,66
28,18
71,88
39,2
78,72
48,81
20,24
99,24
99,24
12,73
32,46
63,27
53,79
46,99
61,42
46,76
57,9
44,94
66,66
45,64
75,25
62,0
44,48
27,83
41,69
5,91
50,68
38,1
11,89
32,21
88,92
7,38
87,47
60,34
19,98
44,29
29,36
43,99
45,59
62,7
74,14
66,9
66,0
3,70
84,93
3,83
88,99
99,99
23,18
67,67
66,41
27,20
55,99
