row,col
28,51
87,74
32,89
73,12
62,93
85,16
95,77
72,62
73,77
75,5
43,74
47,32
98,38
45,99
52,10
48,99
74,99
70,71
67,82
82,74
33,50
5,5
83,79
84,49
15,45
99,51
46,21
44,75
54,18
3,67
12,91
96,10
74,85
47,14
19,74
36,7
3,23
11,46
18,46
88,66
99,46
16,78
85,89
52,93
10,42
97,53
41,12
47,99
63,63
97,10
99,0
78,30
59,38
0,2
46,81
48,77
34,14
48,55
41,99
3,68
68,59
37,53
91,36
27,80
52,80
92,97
39,7
38,3
77,1
11,18
37,99
48,36
38,10
47,19
9,64
32,0
49,96
21,46
0,99
34,80
21,12
95,21
95,45
61,0
27,61
48,72
27,34
83,99
9,45
97,95
82,70
84,23
99,29
98,95
75,7
30,50
16,82
45,57
76,46
29,41
