row,col
6,27
73,81
99,83
36,56
3,57
21,99
66,46
88,60
62,99
99,64
36,78
36,66
83,52
18,42
88,46
37,66
24,99
74,27
27,99
94,71
69,65
98,73
30,67
99,18
95,55
54,59
94,52
74,59
1,98
99,34
82,99
81,14
0,76
78,66
57,70
16,43
20,81
59,16
19,47
47,27
1,42
88,46
7,63
46,1
69,99
84,24
72,0
96,77
86,80
24,86
99,51
45,49
51,9
15,81
70,83
93,99
88,1
99,86
63,19
45,33
87,61
81,92
11,53
34,32
77,95
23,74
51,67
83,25
50,29
25,20
87,32
97,32
33,6
53,45
62,25
83,57
64,49
83,92
99,66
10,87
76,45
48,15
38,70
37,93
14,15
0,64
92,79
48,30
12,74
45,37
