row,col
50,82
63,5
48,0
97,91
57,41
24,76
20,84
37,63
33,71
35,92
29,43
33,28
46,67
22,19
22,48
82,84
53,82
6,31
80,32
30,20
5,99
70,1
74,99
41,48
65,85
13,64
31,96
29,92
21,27
42,49
90,56
84,0
83,17
65,42
70,90
17,45
62,12
27,11
82,25
15,8
17,11
31,46
36,48
7,4
45,84
32,10
25,40
51,62
44,99
93,5
29,99
29,48
79,8
83,26
80,65
58,46
85,85
0,70
7,40
67,11
47,52
31,87
32,4
77,6
32,26
20,96
8,5
50,4
68,92
90,54
23,95
63,64
50,53
56,92
79,86
55,31
27,5
8,68
38,66
16,58
19,36
74,37
98,7
42,44
2,80
89,26
81,99
62,41
10,44
99,94
13,33
7,75
63,81
0,97
38,36
67,95
53,59
63,56
64,7
46,81
27,56
33,1
75,55
54,85
92,33
59,72
16,9
42,41
30,60
19,21
40,22
65,48
99,28
52,8
55,84
95,28
42,63
3,15
66,42
48,70
87,20
52,45
61,92
79,75
87,53
92,14
91,88
47,38
87,56
0,82
92,44
50,64
94,89
8,49
6,63
70,32
48,37
55,5
18,27
14,12
