row,col
22,15
17,5
70,56
56,18
85,30
41,92
90,54
23,29
2,44
77,91
87,71
72,72
66,84
76,90
65,26
91,35
55,28
82,73
22,47
73,50
68,59
25,8
52,92
27,84
87,91
83,82
26,59
75,54
38,90
10,54
8,63
93,54
81,96
73,91
24,65
34,49
77,59
40,66
31,35
57,40
34,7
60,97
70,54
11,97
89,78
96,54
74,42
49,4
32,6
39,14
10,7
2,18
4,20
80,1
43,44
27,20
52,22
94,71
90,19
52,53
8,94
97,69
92,41
34,93
18,90
47,71
37,90
68,20
34,60
30,40
94,77
17,70
68,19
67,6
78,10
47,0
33,53
61,18
73,61
46,57
40,22
72,1
28,84
19,15
7,29
87,16
38,67
50,39
42,27
60,0
