row,col
56,41
66,14
1,45
60,57
25,36
79,53
47,60
49,12
62,21
96,90
13,40
6,80
69,39
45,85
9,94
6,54
83,69
0,16
30,12
20,66
59,32
71,54
30,13
53,93
84,30
67,62
38,20
33,91
88,26
93,47
5,59
9,63
78,75
15,30
50,91
22,68
70,45
23,41
65,94
27,60
68,73
55,6
72,53
6,79
0,97
42,30
0,77
94,78
77,5
53,27
96,49
92,16
60,53
2,11
21,24
66,27
21,75
25,41
79,94
53,43
16,23
21,80
75,28
87,73
91,98
17,86
20,61
39,83
30,89
30,23
35,89
29,28
17,82
89,57
57,51
83,0
99,98
92,85
65,40
0,26
1,18
59,77
55,15
48,70
3,1
1,2
44,34
79,59
26,38
81,64
4,53
98,88
8,6
6,14
37,37
71,35
74,84
64,81
65,77
3,32
