row,col
9,92
78,24
0,80
97,45
38,53
99,18
32,86
54,24
12,55
2,0
51,55
5,99
55,27
99,91
46,41
48,45
3,57
84,41
99,63
9,96
27,56
74,52
48,46
77,55
65,66
29,34
61,81
85,15
77,93
67,45
16,72
20,81
79,53
57,86
2,66
54,66
30,14
92,52
68,68
48,97
21,83
38,45
29,37
70,69
9,46
61,98
51,99
99,77
54,7
47,56
93,71
16,78
46,9
46,71
43,0
11,47
85,56
91,45
61,48
3,7
86,5
92,56
85,55
99,70
6,82
55,29
45,60
97,38
45,6
51,46
70,87
51,7
80,80
3,29
96,67
57,96
7,2
42,98
75,45
80,65
1,6
41,77
19,75
94,23
57,72
60,75
95,30
63,76
99,42
54,1
19,29
27,41
27,71
59,25
41,52
54,54
45,99
36,68
57,32
76,80
