row,col
21,82
54,1
35,55
86,28
17,50
56,14
15,15
3,28
67,49
20,64
34,80
1,23
75,95
52,27
49,72
97,37
53,28
89,16
3,98
81,34
6,46
45,49
35,10
30,96
50,18
65,57
73,20
5,51
41,89
27,26
45,11
58,74
14,52
16,27
72,57
86,83
40,46
1,98
20,68
9,66
90,69
89,99
19,13
76,10
37,36
90,84
66,44
46,78
67,57
1,69
89,13
9,4
2,70
22,24
29,51
98,15
30,6
88,76
7,33
15,44
49,43
38,13
72,0
34,1
20,99
81,39
90,19
45,81
95,85
45,35
95,28
56,57
74,78
1,32
0,80
80,94
72,56
95,65
24,84
14,61
49,92
18,36
15,19
43,98
54,26
11,84
33,87
6,69
46,52
17,41
13,13
63,24
19,98
54,75
84,5
49,22
24,14
50,92
71,78
61,72
67,27
91,96
67,26
54,10
21,12
98,17
55,43
15,98
99,40
95,78
12,89
28,39
32,63
61,12
77,9
63,64
65,3
68,15
73,38
39,60
