row,col
89,65
48,46
34,96
32,60
92,7
88,98
54,93
94,24
18,34
42,48
42,39
89,45
12,46
99,45
34,21
99,42
99,89
33,92
76,96
45,56
84,69
57,99
37,79
79,37
89,16
75,5
20,16
86,99
54,81
18,5
6,1
56,57
5,3
27,53
81,87
76,50
55,1
64,38
79,2
39,97
60,9
92,53
79,47
92,73
1,66
50,88
95,99
43,77
81,52
7,69
11,99
45,0
89,41
57,84
79,64
95,63
98,9
73,27
84,63
32,29
52,34
61,75
48,55
27,99
51,59
37,78
73,2
98,38
73,99
79,39
95,97
73,3
78,43
55,89
76,30
65,96
74,44
99,10
65,84
5,99
99,83
69,67
57,71
62,39
84,37
32,98
84,46
2,99
19,23
82,69
14,95
49,51
55,55
60,66
75,77
5,55
69,1
57,57
45,47
86,75
7,50
32,62
83,30
47,38
45,98
67,55
99,69
19,7
72,79
99,75
5,10
75,84
48,78
6,12
44,21
47,46
11,82
64,23
10,45
59,83
20,60
78,68
39,89
19,6
44,76
92,86
99,99
2,36
87,89
48,80
91,54
94,89
61,62
24,92
97,25
47,68
82,72
21,73
69,2
91,99
