row,col
85,16
15,71
4,53
82,39
33,26
79,99
48,25
22,82
22,37
53,25
37,44
28,99
93,6
41,50
46,53
33,20
4,54
48,21
74,14
45,19
83,21
79,46
93,37
47,15
74,13
94,38
46,91
19,99
70,33
4,99
66,31
83,23
65,73
31,84
85,37
46,49
81,32
66,65
62,5
34,44
76,0
35,18
21,80
46,72
67,66
86,68
23,61
38,15
34,10
58,43
55,64
74,94
10,21
34,39
7,72
93,67
40,7
62,68
51,7
75,74
73,70
7,65
3,28
30,16
54,28
23,43
88,85
68,12
49,61
28,71
63,17
59,29
33,73
67,47
59,55
0,53
52,70
73,40
45,27
66,56
44,61
93,75
15,47
86,24
0,96
41,70
82,95
37,79
26,88
59,64
2,54
74,90
60,40
66,83
73,2
6,83
24,52
81,77
21,99
25,48
78,20
66,26
75,60
2,82
34,79
55,48
76,38
52,45
47,0
95,38
4,72
22,72
9,41
46,61
38,68
20,36
73,35
13,76
42,8
29,25
