row,col
88,99
98,74
53,68
49,11
27,65
3,99
65,63
99,66
99,42
91,36
23,60
49,25
56,41
2,99
3,29
1,32
16,39
38,20
99,74
55,84
48,77
36,63
61,99
59,85
67,23
21,50
79,10
77,80
53,61
46,51
67,1
65,19
5,36
68,87
88,99
2,54
32,61
70,62
94,61
64,74
52,87
9,64
14,75
12,87
3,70
76,45
37,70
57,99
71,71
11,92
99,19
99,53
15,61
70,38
73,69
60,27
57,9
3,10
34,86
53,92
14,28
37,11
68,47
45,99
64,9
83,48
45,45
97,21
49,49
74,56
34,98
47,78
57,73
24,46
82,20
99,3
32,88
57,39
69,81
99,27
1,45
65,89
63,23
82,77
14,87
39,99
38,28
99,11
47,14
11,21
46,64
56,15
72,82
97,93
44,64
74,89
55,46
99,47
68,46
30,53
85,30
76,29
7,45
34,68
44,56
24,25
25,79
97,89
61,84
33,51
25,94
80,92
70,0
38,86
62,42
11,87
47,50
15,55
82,45
6,53
0,10
42,30
60,16
99,47
57,63
69,62
99,24
83,0
24,82
99,10
