row,col
76,88
16,44
17,64
62,73
49,71
90,8
30,6
17,9
24,3
69,63
94,4
24,64
40,47
88,90
83,14
69,70
62,89
7,52
21,39
30,1
84,3
4,54
93,59
33,24
64,28
84,67
9,62
65,5
5,19
41,46
51,77
39,36
93,8
15,59
59,2
93,85
54,82
77,15
70,63
7,98
49,66
33,71
27,77
65,21
18,86
23,19
25,83
83,35
49,45
35,58
15,86
41,3
51,78
70,71
58,39
99,18
7,28
97,42
35,68
51,96
61,21
68,32
56,75
84,76
82,54
66,10
56,60
86,48
9,3
90,86
60,85
28,3
35,48
93,25
7,94
1,74
35,44
28,96
55,50
64,59
37,66
7,83
40,28
63,25
40,59
32,99
89,75
14,94
63,70
55,68
47,5
72,80
96,31
54,63
78,51
44,1
8,42
56,66
39,41
33,18
0,79
55,49
18,28
60,79
69,11
38,17
87,18
45,65
95,79
18,81
0,31
46,28
68,90
67,27
64,5
15,70
17,86
8,18
25,33
13,51
17,76
37,8
4,46
77,9
9,97
71,80
61,37
36,96
36,84
14,10
