row,col
56,99
7,36
83,56
87,19
92,67
99,36
0,73
46,34
69,47
86,85
9,3
30,91
53,44
99,60
38,0
97,48
20,93
87,28
82,12
36,65
65,92
99,98
51,99
42,82
79,59
32,42
52,99
85,44
54,12
92,85
64,42
73,34
99,74
15,76
24,0
49,99
99,68
43,44
23,15
48,80
24,54
6,74
79,48
38,99
99,53
69,54
27,3
0,61
79,94
36,99
14,96
95,73
99,24
34,20
56,82
99,80
99,57
47,36
92,33
30,24
18,99
46,18
71,78
27,83
24,5
38,99
30,93
75,36
67,91
24,60
1,15
0,33
99,74
43,20
42,63
91,82
85,6
63,45
44,43
34,76
47,51
62,1
70,67
59,30
23,73
70,84
46,99
81,75
16,99
69,99
82,11
41,83
68,66
73,65
6,45
93,55
53,64
46,74
38,63
1,83
