row,col
57,53
39,2
36,49
47,95
49,3
45,97
88,43
52,43
72,55
42,92
0,34
44,73
69,96
10,16
48,59
77,97
32,99
88,97
52,89
45,94
59,66
65,9
10,77
69,52
99,68
28,27
77,25
43,99
28,23
43,99
69,48
73,98
81,77
15,78
46,69
99,57
99,24
18,83
67,1
99,89
70,12
49,83
1,99
16,98
89,99
24,30
53,41
42,50
34,29
75,95
42,74
86,30
48,85
95,99
6,91
85,85
18,30
82,34
81,69
66,99
75,7
59,70
19,80
39,56
54,5
28,69
7,71
89,9
51,63
69,25
1,48
23,14
76,44
0,23
69,53
80,80
86,10
67,9
70,48
94,73
51,25
48,69
3,99
12,16
56,50
54,97
85,98
56,46
66,96
85,53
20,74
67,32
54,56
7,42
96,85
99,99
92,28
99,99
39,50
11,73
92,99
99,25
9,89
92,99
11,99
78,99
99,28
81,44
79,72
86,60
28,62
45,46
48,19
60,78
77,99
37,61
12,64
53,3
3,6
96,78
43,47
37,14
45,14
14,47
98,83
59,69
0,27
66,53
7,91
63,62
