row,col
99,51
50,92
3,48
50,20
66,49
27,18
51,71
99,69
88,99
49,2
99,83
3,92
65,16
2,27
98,67
7,97
91,10
44,16
1,47
12,95
37,69
39,65
32,60
83,81
55,79
94,1
76,99
93,46
74,91
45,84
78,60
46,49
59,61
45,14
45,14
55,64
97,54
11,76
99,68
99,47
52,88
41,36
91,14
99,30
27,10
87,20
67,80
3,33
92,66
39,88
18,76
44,61
99,99
82,59
70,7
46,99
30,89
98,99
16,32
39,99
94,68
6,70
16,30
66,10
60,60
45,43
56,46
97,75
3,42
93,18
27,6
77,44
79,11
21,16
47,91
47,73
29,62
0,52
43,10
24,87
46,76
88,48
99,56
71,18
64,79
42,55
46,14
99,55
89,85
57,99
33,46
89,47
51,52
99,48
55,25
18,45
49,38
77,30
18,99
62,97
99,69
92,44
41,33
42,65
37,2
41,18
11,97
5,47
47,67
42,25
