row,col
73,54
98,41
86,54
27,54
85,38
12,99
86,92
69,41
11,9
99,45
92,5
46,5
59,39
29,56
63,34
99,92
5,99
78,99
82,3
99,93
99,36
21,70
79,21
99,39
86,36
32,65
57,45
7,65
36,89
99,59
78,65
93,12
77,67
67,45
97,99
42,60
78,81
37,78
3,62
45,25
3,29
3,45
52,64
29,7
0,28
44,27
59,88
50,84
21,81
83,95
86,99
79,32
42,38
99,97
99,47
23,94
89,74
6,48
83,52
6,83
30,82
27,65
62,59
5,16
83,39
93,9
82,68
99,34
77,57
25,37
10,16
94,23
32,69
68,29
67,60
21,60
99,84
12,87
69,99
10,23
59,24
6,73
78,63
76,19
34,99
64,97
80,29
23,60
86,57
24,94
6,43
7,43
56,51
39,14
2,98
99,83
70,75
38,12
27,11
45,27
79,99
78,21
46,57
14,14
75,39
20,92
75,62
92,62
87,43
76,16
60,99
76,28
37,23
92,12
29,24
89,3
11,73
87,25
71,29
43,95
54,79
23,99
55,10
49,56
74,99
1,99
6,10
68,19
69,67
69,72
2,73
67,49
64,98
79,47
59,82
15,95
44,33
51,83
15,99
62,97
