row,col
47,81
66,25
84,51
89,15
54,74
41,74
39,26
75,76
40,15
42,92
57,51
62,11
99,75
65,43
59,30
99,95
19,26
16,45
58,71
32,43
88,90
51,39
61,67
40,18
23,42
6,56
76,99
7,53
33,81
91,95
35,33
24,2
54,82
76,15
21,22
32,36
0,72
59,24
14,3
9,74
59,20
78,19
55,91
88,61
14,38
39,80
85,49
66,87
92,92
71,44
39,73
52,51
23,51
11,43
53,70
48,50
28,98
72,9
85,44
72,40
68,73
83,79
70,73
25,75
25,15
0,65
34,82
9,52
11,42
34,19
93,33
31,89
43,93
79,3
0,54
55,53
77,37
28,53
76,49
94,43
91,82
7,72
58,20
38,66
35,16
23,37
16,77
14,8
6,18
38,39
25,54
76,47
97,81
37,9
41,2
30,74
87,11
0,1
32,63
27,74
58,73
99,85
80,88
18,2
84,5
61,22
82,70
5,13
56,43
0,84
9,1
17,39
17,63
12,25
49,39
11,95
77,58
18,59
4,66
23,45
76,3
51,6
4,30
8,57
29,10
51,7
3,95
5,80
48,8
63,3
