row,col
12,32
50,22
52,72
86,46
20,61
28,65
36,96
26,53
35,65
70,83
17,96
22,59
23,12
46,46
91,54
74,6
37,40
19,70
27,5
50,75
26,85
67,32
23,51
89,96
27,54
79,89
91,20
11,68
18,40
27,28
85,58
80,39
22,82
96,41
39,57
59,14
4,43
33,75
71,83
37,45
16,38
35,53
51,69
95,58
65,18
31,87
44,72
98,56
33,7
58,74
39,82
43,76
44,2
43,11
52,30
23,80
23,44
30,15
94,24
74,3
90,55
20,10
98,18
50,88
64,81
72,28
30,53
58,62
13,1
61,44
93,85
73,30
33,35
14,34
96,34
33,59
70,26
11,94
33,61
89,12
62,79
73,36
97,80
19,72
15,36
93,55
58,87
49,37
4,26
1,66
