row,col
2,44
27,77
92,91
43,62
48,45
86,86
84,69
20,19
77,29
5,19
89,63
21,97
65,77
98,71
6,99
50,47
72,19
81,46
20,55
41,61
56,82
51,76
98,34
14,3
76,41
54,56
6,38
81,65
76,24
24,6
98,99
66,0
61,88
54,1
9,86
68,46
99,50
62,53
19,66
89,99
99,80
99,27
59,47
32,44
10,73
30,57
82,29
56,59
79,15
99,66
34,48
68,67
64,96
99,45
51,56
46,60
42,72
59,37
57,20
75,86
34,89
9,87
95,2
99,79
24,15
71,81
32,43
98,63
85,39
48,80
48,93
83,36
99,66
99,60
95,98
11,69
81,60
97,21
48,98
9,81
