row,col
25,53
28,42
48,84
26,74
35,47
36,78
86,6
54,72
39,78
93,34
89,27
6,72
46,89
2,0
64,28
78,3
71,51
95,71
32,21
44,28
12,69
48,85
18,82
85,90
62,67
71,18
8,89
56,49
52,18
45,40
99,22
48,4
74,20
84,90
76,43
23,93
53,23
19,74
0,74
81,21
78,27
60,99
90,31
48,1
30,81
0,57
80,97
38,10
36,19
9,84
6,61
39,44
22,38
91,98
67,34
9,94
33,18
40,73
19,76
86,83
89,14
56,3
42,66
75,1
43,93
12,86
21,27
52,82
93,5
87,2
90,28
81,5
33,99
80,42
65,33
52,22
87,58
11,28
18,54
94,20
10,21
82,2
16,22
49,10
67,14
58,96
10,23
25,77
50,46
12,30
31,79
24,76
25,81
87,99
67,22
55,71
93,83
70,67
12,61
85,92
73,89
71,86
66,0
28,88
94,6
98,96
49,71
59,56
87,51
20,15
72,98
1,19
12,15
74,59
17,68
90,40
39,79
47,90
16,99
72,34
42,40
59,53
7,15
10,54
15,42
11,63
72,18
86,57
22,15
93,73
1,26
54,73
43,91
83,16
65,87
85,97
50,48
56,14
56,73
70,9
