row,col
91,72
36,85
29,51
84,18
26,79
83,14
91,8
97,74
45,96
31,83
46,62
23,47
51,28
97,34
51,99
19,12
8,38
25,6
77,28
63,33
89,82
92,92
92,68
65,11
8,28
17,98
59,93
28,76
87,8
43,36
18,93
93,94
19,80
58,59
44,82
84,33
38,75
68,28
50,6
39,32
17,79
63,17
40,6
88,61
27,30
79,84
63,55
5,61
41,27
87,72
89,93
49,67
98,33
27,36
7,26
26,42
85,24
45,72
47,62
92,74
88,31
78,24
24,55
44,66
58,35
90,75
28,45
64,61
66,76
64,29
12,93
87,11
83,58
75,0
60,46
22,6
80,24
62,69
43,13
56,26
8,15
81,85
67,29
88,78
9,74
93,41
27,15
1,74
3,31
94,24
19,78
63,83
57,46
80,84
63,34
97,55
96,82
57,69
90,50
57,19
2,59
22,9
95,60
12,44
17,16
56,53
1,29
47,42
72,52
59,51
41,33
53,5
55,59
51,70
44,15
3,34
83,6
3,97
81,12
16,64
8,87
63,35
85,31
92,55
59,81
70,6
27,37
72,16
68,14
5,58
