row,col
88,75
91,29
95,98
16,92
8,29
67,6
79,60
15,88
32,98
48,42
45,57
11,54
53,59
56,7
33,67
86,62
79,5
25,80
93,5
77,41
0,18
68,20
62,61
34,3
24,97
79,3
36,40
16,77
68,50
29,0
0,8
47,82
55,64
7,1
65,76
92,61
90,13
84,65
72,58
47,86
0,30
85,6
35,2
58,52
93,75
19,3
29,67
28,95
36,83
91,75
52,93
73,65
92,3
93,17
78,78
10,12
36,95
71,52
40,2
92,69
62,39
79,7
26,42
54,13
29,61
80,18
39,78
78,49
8,20
79,71
72,5
76,72
0,29
45,36
86,55
86,8
48,64
21,64
66,71
60,37
91,83
73,58
86,98
16,91
62,32
24,44
45,61
94,57
36,56
23,53
49,13
34,30
41,24
70,1
11,17
24,66
53,19
7,72
14,43
39,19
