row,col
98,78
46,92
37,56
91,23
33,85
89,18
98,10
99,80
50,99
39,89
51,68
29,52
56,36
99,43
56,99
24,15
10,48
32,7
83,36
69,42
96,88
99,99
99,74
71,14
10,36
21,99
65,99
36,82
94,10
48,46
23,99
99,99
24,86
64,65
49,88
91,42
48,81
74,36
55,7
44,41
21,85
69,21
45,7
95,67
34,38
85,91
69,61
6,67
46,34
94,78
96,99
54,73
99,42
34,46
9,33
33,47
92,30
50,78
52,68
99,80
95,39
84,30
30,61
49,72
64,45
97,81
36,50
70,67
72,82
70,37
15,99
94,14
89,64
81,0
66,51
28,7
86,30
68,75
48,16
62,33
10,19
87,92
73,37
95,84
11,80
99,46
34,19
1,80
3,39
99,30
24,84
69,89
63,51
86,91
69,43
99,61
99,88
63,75
97,55
63,24
2,65
28,11
99,66
15,49
21,20
62,59
1,37
52,47
78,57
65,56
46,42
59,6
61,65
56,76
49,19
3,43
89,7
3,99
87,15
20,70
10,94
69,45
92,39
99,61
65,87
76,7
34,47
78,20
74,18
6,64
