row,col
27,14
11,97
4,31
72,56
97,56
2,30
81,19
47,9
76,47
76,65
59,51
82,45
31,77
44,18
96,10
70,28
4,85
79,65
17,93
32,33
12,48
34,74
93,28
61,13
93,79
2,82
59,24
2,95
50,73
62,78
71,36
53,62
0,60
53,26
11,7
77,60
79,94
49,1
29,78
42,34
32,81
70,51
66,88
37,99
58,3
6,96
98,5
18,1
26,82
13,50
45,99
42,63
98,3
36,50
77,1
42,78
14,13
17,9
43,9
17,29
48,95
6,56
32,60
89,9
81,9
2,4
62,88
43,11
89,13
46,80
11,80
98,52
74,29
99,46
24,70
50,3
22,58
90,21
65,6
13,56
83,84
97,13
6,33
99,36
9,46
21,51
64,95
88,64
41,76
4,73
9,13
27,73
34,79
46,24
18,19
47,74
56,19
32,84
58,63
70,72
24,38
68,27
39,99
94,0
89,5
29,98
66,98
77,84
50,54
7,84
32,90
29,28
9,99
50,22
83,4
95,40
53,43
44,65
92,6
94,82
90,95
72,12
80,88
67,7
52,71
91,27
45,5
20,16
74,18
19,64
48,99
88,1
97,34
13,20
4,36
44,19
93,97
98,79
4,18
54,24
