row,col
53,23
18,89
75,19
60,33
49,23
46,52
23,33
32,8
84,57
81,7
29,95
34,73
44,30
20,52
62,13
99,62
52,69
63,81
87,18
26,16
43,80
95,18
11,60
40,30
50,19
93,69
51,0
98,23
23,41
56,20
54,48
35,44
2,71
40,21
18,22
37,45
81,39
55,87
50,80
56,78
68,44
59,60
15,28
8,23
37,69
11,63
20,26
52,77
38,29
81,26
20,12
6,0
32,1
61,1
92,13
4,98
2,32
78,51
36,85
29,73
70,63
82,2
27,79
41,19
9,90
28,15
9,37
73,98
41,86
25,36
4,95
22,86
73,37
43,3
46,14
19,76
68,87
15,59
88,10
48,68
42,3
60,57
8,7
99,43
44,18
54,59
45,46
71,89
71,39
15,87
43,49
10,93
17,97
33,82
82,22
64,6
94,61
14,10
94,98
2,44
