row,col
43,88
24,15
45,99
99,71
99,49
99,43
46,20
82,80
74,48
20,52
16,34
93,99
30,99
30,30
65,2
21,87
79,59
84,67
99,83
88,98
30,69
99,7
99,47
30,33
99,80
70,85
78,6
44,33
49,47
9,99
73,85
75,97
44,42
46,99
7,25
54,47
63,99
21,77
76,99
54,51
99,47
68,53
28,83
32,62
1,63
20,94
29,2
99,74
19,67
5,99
70,36
99,89
32,21
10,65
99,18
71,46
57,1
99,98
99,75
80,45
83,10
57,16
85,45
46,19
11,25
84,37
93,89
37,71
95,99
47,16
30,47
27,47
74,74
38,99
69,77
62,37
92,75
78,47
74,95
63,85
61,24
49,96
37,99
96,93
49,5
27,5
1,89
46,24
89,20
64,18
