row,col
4,47
95,21
72,2
20,75
10,80
57,39
45,32
42,87
93,15
54,9
17,67
0,31
41,48
72,27
3,35
95,9
38,67
95,88
16,97
27,24
87,97
98,32
9,25
71,28
49,28
72,38
94,90
51,83
67,83
79,87
69,26
61,10
80,24
31,17
6,71
36,58
43,73
83,63
24,85
18,78
65,3
61,51
13,42
64,86
45,47
63,89
94,31
76,32
92,95
16,15
90,8
13,40
55,15
96,52
21,65
79,18
59,24
19,48
38,3
38,97
9,71
19,9
89,52
14,79
36,83
19,79
92,74
5,81
12,96
54,80
36,74
26,0
6,88
24,39
15,35
15,55
0,85
84,24
9,17
54,70
30,2
50,45
16,61
34,52
59,64
46,16
88,71
58,93
25,19
49,4
14,83
92,80
92,73
97,61
12,9
37,37
58,91
93,21
3,97
30,60
59,81
72,81
15,88
41,95
98,40
61,34
60,70
61,37
4,20
92,81
45,22
64,91
56,52
9,85
5,29
38,99
6,38
31,12
33,20
88,70
49,96
70,92
47,5
50,18
22,73
50,48
92,67
67,73
31,97
69,2
79,50
5,60
2,78
94,41
48,94
22,9
55,68
13,57
87,71
90,3
